activity_description,activity_description_fixed,isic_code,isic_code_fixed,isic_code_ref,isic_code_len,isic_code_fixed_len,isic_description_nisr,isic_description_un,isic_description_final,isic_code_target
BUBAKA AMAZU ASANZWE,bubaka amazu asanzwe,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
UBUHINZI BWURUTOKI,ubuhinzi bwurutoki,122,122,122,3,4,Growing of tropical and subtropical fruits,Growing of tropical and subtropical fruits,Growing of tropical and subtropical fruits,122
UBUCURUZI BUDANDAZA IMBOGA MU ISOKO,ubucuruzi budandaza imboga mu isoko,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
Gukora divayi,gukora divayi,1102,1102,1102,4,4,Manufacture of wines,Manufacture of wines,Manufacture of wines,5555
ubudandazi mu isoko,ubudandazi mu isoko,4789,4789,4789,4,4,Retail sale via stalls and markets of other goods,Retail sale via stalls and markets of other goods,Retail sale via stalls and markets of other goods,4789
UBUCURUZI BURANGUZA HIGANJEMO IBIRIBWA,ubucuruzi buranguza higanjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUHINZI BW' UMUCERI,ubuhinzi bw'umuceri,112,112,112,3,4,Growing of rice,Growing of rice,Growing of rice,112
"gucuruza(umucer?,isukari,umunyu,akawunga,fanta,ifu yigikoma,amavuta yo kurya,amagi mabisi)","gucuruza(umucer?,isukari,umunyu,akawunga,fanta,ifu yigikoma,amavuta yo kurya,amagi mabisi)",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
Service zijyanye no gushyira amafaranga ku karita y'urugendo (Tap&Go),service zijyanye no gushyira amafaranga ku karita y'urugendo (tap&go),8299,8299,8299,4,4,Other business support service activities n.e.c.,Other business support service activities n.e.c.,Other business support service activities n.e.c.,5555
UBUREZI MU MASHURI YISUMBUYE,uburezi mu mashuri yisumbuye,8521,8521,8521,4,4,General secondary education,General secondary education,General secondary education,8521
ubucuruzi budandaza butandukanye muri Boutique,ubucuruzi budandaza butandukanye muri boutique,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
gucuruza ibinyobwa,gucuruza ibinyobwa,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
GUSANA TELEFONE ZAGIZE IBIBAZO,gusana telefone zagize ibibazo,9512,9512,9512,4,4,Repair of communication equipment,Repair of communication equipment,Repair of communication equipment,9512
UBUDOZI BWIMYENDA MISHYA,ubudozi bwimyenda mishya,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
RESTAURANT,restaurant,5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
UBUHINZI BW'ICYAYI,ubuhinzi bw'icyayi,127,127,127,3,4,Growing of beverage crops,Growing of beverage crops,Growing of beverage crops,127
UBUHINZI BWOROZI,ubuhinzi bworozi,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
Decoration no kwambika abageni,decoration no kwambika abageni,7410,7410,7410,4,4,Specialized design activities,Specialized design activities,Specialized design activities,7410
UBWUBATSI BWAMAZU,ubwubatsi bwamazu,4100,4100,4100,4,4,Construction of buildings,Construction of buildings,Construction of buildings,4100
kudandaza ubuconco bwigajemo ibiribwa,kudandaza ubuconco bwigajemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
gusya ibinyampeke,gusya ibinyampeke,1061,1061,1061,4,4,Manufacture of grain mill products,Manufacture of grain mill products,Manufacture of grain mill products,1061
UBUHINZI BW'IBIHIGWA BITANDUKANYE,ubuhinzi bw'ibihigwa bitandukanye,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
ubucuruzi bwa butike,ubucuruzi bwa butike,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
UBUCURUZI budandaza rwiganjemo isukari,ubucuruzi budandaza rwiganjemo isukari,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
UBUCURUZI  BW'IBIRIBWA(BOUTIQUE),ubucuruzi bw'ibiribwa(boutique),4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
"umurimo wingenzi nukugaburira abantu amandazi,amata numutobe","umurimo wingenzi nukugaburira abantu amandazi,amata numutobe",5610,5610,5610,4,4,Restaurants and mobile food service activities,Restaurants and mobile food service activities,Restaurants and mobile food service activities,5610
UBUCURUZI BUDANDAZA IBINTUBITANDUKANYE HIGANJEMO (IBIKORESHO BYAMASHANYARAZI;Nikoresho byamagare),ubucuruzi budandaza ibintubitandukanye higanjemo (ibikoresho byamashanyarazi;nikoresho byamagare),4759,4759,4759,4,4,"Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores",4759
UBUHINZI BW'IMBOGA,ubuhinzi bw'imboga,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
UBUCUKUZI BWA CASSITERITE,ubucukuzi bwa cassiterite,729,729,729,3,4,Mining of other non-ferrous metal ores,Mining of other non-ferrous metal ores,Mining of other non-ferrous metal ores,729
ubucuruzi budandaza utuntu ducye twiganjemo ibiribwa,ubucuruzi budandaza utuntu ducye twiganjemo ibiribwa,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
ubucuruzi budandaza ibiribwa,ubucuruzi budandaza ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
ubudandazi bwinganje bw'ibiribwa,ubudandazi bwinganje bw'ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUHINZI BWOROZI BUGAMIJE GUTUNGA URUGO,ubuhinzi bworozi bugamije gutunga urugo,9810,9810,9810,4,4,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,Undifferentiated goods-producing activities of private households for own use,9810
UBUHINZI,ubuhinzi,111,111,111,3,4,"Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds","Growing of cereals (except rice), leguminous crops and oil seeds",111
Kudandaza higanjemo imineke,kudandaza higanjemo imineke,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
BUTIKE IDANDAZA UBUCONCO,butike idandaza ubuconco,4719,4719,4719,4,4,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,Other retail sale in non-specialized stores,4719
UBUCURUZI BWA GAZ,ubucuruzi bwa gaz,4773,4773,4773,4,4,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,Other retail sale of new goods in specialized stores,4773
aradoda imyenda yabagabo nabagore,aradoda imyenda yabagabo nabagore,1410,1410,1410,4,4,"Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel","Manufacture of wearing apparel, except fur apparel",1410
UBUHINZI BW'IBIJUMBA,ubuhinzi bw'ibijumba,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
KUVURA ABANTU,kuvura abantu,8610,8610,8610,4,4,Hospital activities,Hospital activities,Hospital activities,8610
UBUCURUZI BUDANDAZA HIGANJEMO IBIRIBWA,ubucuruzi budandaza higanjemo ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
ubucuruzi bw'ibiribwa,ubucuruzi bw'ibiribwa,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
"UBUDANDAZI BWIBYOKURYA BWIGANJEMO, UMUCELI, IBISHYIMBO, ISUKALI, AMAVUTA AKOZE MUBIHWAGALI YOGUTEKA, AMASABUNE","ubudandazi bwibyokurya bwiganjemo, umuceli, ibishyimbo, isukali, amavuta akoze mubihwagali yoguteka, amasabune",4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
IMIRIMO YOMURUGO,imirimo yomurugo,9700,9700,9700,4,4,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,Activities of households as employers of domestic personnel,9700
UBUHINZI BW'IBIRAYI,ubuhinzi bw'ibirayi,113,113,113,3,4,"Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers","Growing of vegetables and melons, roots and tubers",113
UBUCURUZI MURI BOUTIQUE,ubucuruzi muri boutique,4752,4752,4752,4,4,"Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores","Retail sale of hardware, paints and glass in specialized stores",4752
Kudandaza ibiribwa cyane imboga,kudandaza ibiribwa cyane imboga,4721,4721,4721,4,4,Retail sale of food in specialized stores,Retail sale of food in specialized stores,Retail sale of food in specialized stores,4721
UBUCURUZI BW'INYANYA MU MUHANDA,ubucuruzi bw'inyanya mu muhanda,4781,4781,4781,4,4,"Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products","Retail sale via stalls and markets of food, beverages and tobacco products",4781
ubucuruzi bwinyama,ubucuruzi bwinyama,4722,4722,4722,4,4,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,Retail sale of beverages in specialized stores,4722
Umucuruzi wa matera,umucuruzi wa matera,4759,4759,4759,4,4,"Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Retail sale of electrical household appliances, furniture, lighting equipment andother household articles in specialized stores",4759
UBUCURUZI BWA BUTIKE,ubucuruzi bwa butike,4711,4711,4711,4,4,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating","Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711
akabari kubushera,akabari kubushera,5630,5630,5630,4,4,Beverage serving activities,Beverage serving activities,Beverage serving activities,5630
UBUREZI MUMASHURI ABANZA,uburezi mumashuri abanza,8510,8510,8510,4,4,Pre-primary and primary education,Pre-primary and primary education,Pre-primary and primary education,8510
